172.18.0.5 - - [10/Jun/2025:15:09:02 +0000]GET /backend-api/hello HTTP/1.120053172.18.0.3:80820.116
172.18.0.5 - - [10/Jun/2025:15:09:02 +0000]GET /backend-api/data HTTP/1.120060172.18.0.3:80820.003
172.18.0.5 - - [10/Jun/2025:15:09:02 +0000]GET /backend2-api/hello HTTP/1.120054172.18.0.4:80830.086
[10/Jun/2025:15:12:39 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend-api/hello HTTP/1.1 ,status: 200 ,bytes: 53 ,to: 172.18.0.3:8082 ,response-time: 0.101 
[10/Jun/2025:15:12:39 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend-api/data HTTP/1.1 ,status: 200 ,bytes: 60 ,to: 172.18.0.3:8082 ,response-time: 0.003 
[10/Jun/2025:15:12:39 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend2-api/hello HTTP/1.1 ,status: 200 ,bytes: 54 ,to: 172.18.0.4:8083 ,response-time: 0.085 
[10/Jun/2025:15:16:20 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend-api/hello HTTP/1.1 ,status: 200 ,bytes: 53 ,to: 172.18.0.3:8082 ,response-time: 0.122 
[10/Jun/2025:15:16:20 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend-api/data HTTP/1.1 ,status: 200 ,bytes: 60 ,to: 172.18.0.3:8082 ,response-time: 0.004 
[10/Jun/2025:15:16:20 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend2-api/hello HTTP/1.1 ,status: 200 ,bytes: 54 ,to: 172.18.0.4:8083 ,response-time: 0.080 
[10/Jun/2025:15:19:34 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend-api/hello HTTP/1.1 ,status: 200 ,bytes: 53 ,to: 172.18.0.3:8082 ,response-time: 0.098 
[10/Jun/2025:15:19:34 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend-api/data HTTP/1.1 ,status: 200 ,bytes: 60 ,to: 172.18.0.3:8082 ,response-time: 0.004 
[10/Jun/2025:15:19:34 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend2-api/hello HTTP/1.1 ,status: 200 ,bytes: 54 ,to: 172.18.0.4:8083 ,response-time: 0.084 
[10/Jun/2025:15:21:00 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend-api/hello HTTP/1.1 ,status: 200 ,bytes: 62 ,to: 172.18.0.3:8082 ,response-time: 0.135 
[10/Jun/2025:15:21:00 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend-api/data HTTP/1.1 ,status: 200 ,bytes: 69 ,to: 172.18.0.3:8082 ,response-time: 0.004 
[10/Jun/2025:15:21:00 +0000] from: 172.18.0.5, remote_user: - ,request: GET /backend2-api/hello HTTP/1.1 ,status: 200 ,bytes: 54 ,to: 172.18.0.4:8083 ,response-time: 0.135 
